PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Species,Strain/Sex,Route,Dose,Tumor Site: Type of Lesion,Results,Reference
1264,363898174,6365,CC(Cl)Cl,Unspecified,,,,MOUSE,B6C3F1/FEMALE,GAVAGE,0; 1665; 3331 MG/KG 5/WK FOR 78 WK (STUDY DURATION: 91 WK),UTERUS: ENDOMETRIAL STROMAL POLYP,EQUIVOCAL,"[NCI/NTP CARCINOGENESIS TECHNICAL REPORT SERIES; NATIONAL CANCER INSTITUTE/NATIONAL TOXICOLOGY PROGRAM; U.S. DEPARTMENT OF HEALTH AND HUMAN SERVICES, TR-66 Y78]"
1265,363898174,6365,CC(Cl)Cl,Unspecified,,,,RAT,OSBORNE-MENDEL/FEMALE,GAVAGE,0; 475; 950 MG/KG 5/WK FOR 78 WK (STUDY DURATION: 111 WK),MAMMARY GLAND: ADENOCARCINOMA; LUNG: HEMANGIOSARCOMA; SPLEEN: HEMANGIOSARCOMA,EQUIVOCAL,"[NCI/NTP CARCINOGENESIS TECHNICAL REPORT SERIES; NATIONAL CANCER INSTITUTE/NATIONAL TOXICOLOGY PROGRAM; U.S. DEPARTMENT OF HEALTH AND HUMAN SERVICES, TR-66 Y78]"
1266,363898175,11,C(CCl)Cl,Active,,,,MOUSE,B6C3F1/FEMALE,GAVAGE,"0; 149; 299 MG/KG TWA,5 D/WK FOR 78 WK (STUDY DURATION: 91 WK)","LUNG: ALVEOLAR/BRONCHIOLAR ADENOMA; UTERUS (ENDOMETRIUM): STROMAL POLYP, STROMAL SARCOMA; MAMMARY GLAND: ADENOCARCINOMA",POSITIVE,"[NCI/NTP CARCINOGENESIS TECHNICAL REPORT SERIES; NATIONAL CANCER INSTITUTE/NATIONAL TOXICOLOGY PROGRAM; U.S. DEPARTMENT OF HEALTH AND HUMAN SERVICES, TR-55 Y78]"
1267,363898175,11,C(CCl)Cl,Active,,,,MOUSE,B6C3F1/MALE,GAVAGE,"0; 97; 195 MG/KG TWA, 5 D/WK FOR 78 WK (STUDY DURATION: 90-91 WK)",LUNG: ALVEOLAR/BRONCHIOLAR ADENOMA,POSITIVE,"[NCI/NTP CARCINOGENESIS TECHNICAL REPORT SERIES; NATIONAL CANCER INSTITUTE/NATIONAL TOXICOLOGY PROGRAM; U.S. DEPARTMENT OF HEALTH AND HUMAN SERVICES, TR-55 Y78]"
1268,363898175,11,C(CCl)Cl,Active,,,,MOUSE,ICR/FEMALE,DERMAL,42; 126 MG/APPL/MOUSE IN 0.2 ML ACETONE 3/WK,LUNG: BENIGN PAPILLOMA,POSITIVE,"[VAN DUUREN,BL, GOLDSCHMIDT,BM, LOEWENGART,G, SMITH,AC, MELCHIONNE,S, SEIDMAN,I AND ROTH,D; CARCINOGENICITY OF HALOGENATED OLEFINIC AND ALIPHATIC HYDROCARBONS IN MICE; J. NATL. CANCER INST. 63:1433-1439, 1979]"
1269,363898175,11,C(CCl)Cl,Active,,,,RAT,OSBORNE-MENDEL/FEMALE,GAVAGE,"0; 47; 95 MG/KG TWA, 5 D/WK FOR 69 WK (STUDY DURATION: 93-110 WK)",MAMMARY GLAND: ADENOCARCINOMA OR FIBROADENOMA,POSITIVE,"[NCI/NTP CARCINOGENESIS TECHNICAL REPORT SERIES; NATIONAL CANCER INSTITUTE/NATIONAL TOXICOLOGY PROGRAM; U.S. DEPARTMENT OF HEALTH AND HUMAN SERVICES, TR-55 Y78]"
1270,363898175,11,C(CCl)Cl,Active,,,,RAT,OSBORNE-MENDEL/MALE,GAVAGE,"0; 47; 95 MG/KG TWA, 5 D/WK FOR 69 WK (STUDY DURATION: 101-110 WK)",INTEGUMENTARY SYSTEM (SUBCUTANEOUS TISSUE): FIBROMA; FORESTOMACH: SQUAMOUS CELL CARCINOMA; BLOOD VESSELS: HEMANGIOSARCOMA,POSITIVE,"[NCI/NTP CARCINOGENESIS TECHNICAL REPORT SERIES; NATIONAL CANCER INSTITUTE/NATIONAL TOXICOLOGY PROGRAM; U.S. DEPARTMENT OF HEALTH AND HUMAN SERVICES, TR-55 Y78]"
1271,363898175,11,C(CCl)Cl,Inactive,,,,RAT,SPRAGUE-DAWLEY/FEMALE,INHALATION,0; 50 PPM 7 HR/D 5 D/WK FOR 2 YR (STUDY DURATION: 2 YR),,NEGATIVE,"[CHEEVER,KL, CHOLAKIS,JM, MONAEM EL-HAWARI,A, KOVATCH,RM AND WEISBURGER,EK; ETHYLENE DICHLORIDE: THE INFLUENCE OF DISULFIRAM OR ETHANOL ON ONCOGENICITY, METABOLISM, AND DNA COVALENT BINDING IN RATS; FUNDAM. APPL. TOXICOL. 14(2):243-261, 1990]"
1272,363898175,11,C(CCl)Cl,Inactive,,,,RAT,SPRAGUE-DAWLEY/MALE,INHALATION,0; 50 PPM 7 HR/D 5 D/WK FOR 2 YR (STUDY DURATION: 2 YR),,NEGATIVE,"[CHEEVER,KL, CHOLAKIS,JM, MONAEM EL-HAWARI,A, KOVATCH,RM AND WEISBURGER,EK; ETHYLENE DICHLORIDE: THE INFLUENCE OF DISULFIRAM OR ETHANOL ON ONCOGENICITY, METABOLISM, AND DNA COVALENT BINDING IN RATS; FUNDAM. APPL. TOXICOL. 14(2):243-261, 1990]"
1273,363898175,11,C(CCl)Cl,Inactive,,,,RAT,SPRAGUE-DAWLEY/MALE,INHALATION,0; 5; 10; 50; 150; 250 PPM IN AIR 7 HR/D 5 D/WK FOR 78 WK (STUDY DURATION: LIFETIME),[BRAIN WAS ONLY SITE EVALUATED],NEGATIVE,"[MALTONI,C, CILIBERTI,A AND CARRETTI,P; EXPERIMENTAL CONTRIBUTIONS IN IDENTIFYING BRAIN POTENTIAL CARCINOGENS IN THE PETROCHEMICAL INDUSTRY; ANN. N.Y. ACAD. SCI. 381:216-249, 1982]"
1274,363898175,11,C(CCl)Cl,Inactive,,,,RAT,SPRAGUE-DAWLEY/FEMALE,INHALATION,0; 5; 10; 50; 150; 250 PPM IN AIR 7 HR/D 5 D/WK FOR 78 WK (STUDY DURATION: LIFETIME),[BRAIN WAS ONLY SITE EVALUATED],NEGATIVE,"[MALTONI,C, CILIBERTI,A AND CARRETTI,P; EXPERIMENTAL CONTRIBUTIONS IN IDENTIFYING BRAIN POTENTIAL CARCINOGENS IN THE PETROCHEMICAL INDUSTRY; ANN. N.Y. ACAD. SCI. 381:216-249, 1982]"
1275,363898175,11,C(CCl)Cl,Inactive,,,,MOUSE,EU-PIM-1/MALE,GAVAGE,0; 100; 300 MG/KG 1/D FOR 40 WK (STUDY DURATION: 40 WK),,NEGATIVE,"[STORER,RD, CARTWRIGHT,ME, COOK,WO, SOPER,KA AND NICOLS,WW; SHORT-TERM CARCINOGENESIS BIOASSAY OF GENOTOXIC PROCARCINOGENS IN PM TRANSGENIC MICE; CARCINOGENESIS 16(2):285-293, 1995]"
1276,363898175,11,C(CCl)Cl,Active,,,,MOUSE,EU-PIM-1/FEMALE,GAVAGE,0; 100; 300 MG/KG 1/D FOR 40 WK (STUDY DURATION: 40 WK),LYMPHATIC SYSTEM: LYMPHOMA,POSITIVE,"[STORER,RD, CARTWRIGHT,ME, COOK,WO, SOPER,KA AND NICOLS,WW; SHORT-TERM CARCINOGENESIS BIOASSAY OF GENOTOXIC PROCARCINOGENS IN PM TRANSGENIC MICE; CARCINOGENESIS 16(2):285-293, 1995]"
1277,363898176,11860,C1=C(C=C(C(=C1Cl)N)Cl)N,Active,,,,MOUSE,B6C3F1/FEMALE,ORAL,0; 1000; 3000 PPM IN DIET,LIVER: HEPATOCELLULAR ADENOMA OR CARCINOMA,POSITIVE,"[NCI/NTP CARCINOGENESIS TECHNICAL REPORT SERIES; NATIONAL CANCER INSTITUTE/NATIONAL TOXICOLOGY PROGRAM; U.S. DEPARTMENT OF HEALTH AND HUMAN SERVICES, TR-219 Y82]"
1278,363898176,11860,C1=C(C=C(C(=C1Cl)N)Cl)N,Active,,,,MOUSE,B6C3F1/MALE,ORAL,0; 1000; 3000 PPM IN DIET,LIVER: HEPATOCELLULAR ADENOMA OR CARCINOMA,POSITIVE,"[NCI/NTP CARCINOGENESIS TECHNICAL REPORT SERIES; NATIONAL CANCER INSTITUTE/NATIONAL TOXICOLOGY PROGRAM; U.S. DEPARTMENT OF HEALTH AND HUMAN SERVICES, TR-219 Y82]"
1279,363898176,11860,C1=C(C=C(C(=C1Cl)N)Cl)N,Inactive,,,,RAT,F344/FEMALE,ORAL,0; 2000; 6000 PPM IN DIET,,NEGATIVE,"[NCI/NTP CARCINOGENESIS TECHNICAL REPORT SERIES; NATIONAL CANCER INSTITUTE/NATIONAL TOXICOLOGY PROGRAM; U.S. DEPARTMENT OF HEALTH AND HUMAN SERVICES, TR-219 Y82]"
1280,363898176,11860,C1=C(C=C(C(=C1Cl)N)Cl)N,Inactive,,,,RAT,F344/MALE,ORAL,0; 1000; 2000 PPM IN DIET,,NEGATIVE,"[NCI/NTP CARCINOGENESIS TECHNICAL REPORT SERIES; NATIONAL CANCER INSTITUTE/NATIONAL TOXICOLOGY PROGRAM; U.S. DEPARTMENT OF HEALTH AND HUMAN SERVICES, TR-219 Y82]"
1281,363898177,5280970,C(/C=C\Cl)Cl,Active,,,,MOUSE,ICR/FEMALE,SUBCUTANEOUS,3.0 MG/INJ IN 0.05 ML TRIOCTANOIN 1/WK,INJECTION SITE: FIBROSARCOMA,POSITIVE,"[VAN DUUREN,BL, GOLDSCHMIDT,BM, LOEWENGART,G, SMITH,AC, MELCHIONNE,S, SEIDMAN,I AND ROTH,D; CARCINOGENICITY OF HALOGENATED OLEFINIC AND ALIPHATIC HYDROCARBONS IN MICE; J. NATL. CANCER INST. 63:1433-1439, 1979]"
1282,363898178,119516,C([C@H]1[C@H](O1)Cl)Cl,Active,,,,MOUSE,ICR/FEMALE,DERMAL,10 MG IN 0.1 ML ACETONE 3/WK FOR LIFE,"INTEGUMENTARY SYSTEM (SKIN): PAPILLOMA, SQUAMOUS CELL CARCINOMA",POSITIVE,"[VAN DUUREN,BL, KLINE,SA, MELCHIONNE,S AND SEIDMAN,I; CHEMICAL STRUCTURE AND CARCINOGENICITY RELATIONSHIPS OF SOME CHLOROALKENE OXIDES AND THEIR PARENT OLEFINS; CANCER RES. 43:159-162, 1983]"
1283,363898178,119516,C([C@H]1[C@H](O1)Cl)Cl,Active,,,,MOUSE,ICR/FEMALE,SUBCUTANEOUS,500 UG IN 0.05 ML TRICAPRYLIN 1/WK FOR LIFE,INJECTION SITE: FIBROSARCOMA,POSITIVE,"[VAN DUUREN,BL, KLINE,SA, MELCHIONNE,S AND SEIDMAN,I; CHEMICAL STRUCTURE AND CARCINOGENICITY RELATIONSHIPS OF SOME CHLOROALKENE OXIDES AND THEIR PARENT OLEFINS; CANCER RES. 43:159-162, 1983]"
1284,363898179,149399,C([C@@H]1[C@H](O1)Cl)Cl,Active,,,,MOUSE,ICR/FEMALE,DERMAL,10 MG IN 0.1 ML ACETONE 3/WK FOR LIFE,"INTEGUMENTARY SYSTEM (SKIN): PAPILLOMA, SQUAMOUS CELL CARCINOMA",POSITIVE,"[VAN DUUREN,BL, KLINE,SA, MELCHIONNE,S AND SEIDMAN,I; CHEMICAL STRUCTURE AND CARCINOGENICITY RELATIONSHIPS OF SOME CHLOROALKENE OXIDES AND THEIR PARENT OLEFINS; CANCER RES. 43:159-162, 1983]"
1285,363898179,149399,C([C@@H]1[C@H](O1)Cl)Cl,Active,,,,MOUSE,ICR/FEMALE,SUBCUTANEOUS,500 UG IN 0.05 ML TRICAPRYLIN 1/WK FOR LIFE,INJECTION SITE: FIBROSARCOMA,POSITIVE,"[VAN DUUREN,BL, KLINE,SA, MELCHIONNE,S AND SEIDMAN,I; CHEMICAL STRUCTURE AND CARCINOGENICITY RELATIONSHIPS OF SOME CHLOROALKENE OXIDES AND THEIR PARENT OLEFINS; CANCER RES. 43:159-162, 1983]"
1286,363898180,3039,COP(=O)(OC)OC=C(Cl)Cl,Inactive,,,,MOUSE,B6C3F1/FEMALE,ORAL,"0; 317; 635 PPM IN DIET, TWA",,NEGATIVE,"[NCI/NTP CARCINOGENESIS TECHNICAL REPORT SERIES; NATIONAL CANCER INSTITUTE/NATIONAL TOXICOLOGY PROGRAM; U.S. DEPARTMENT OF HEALTH AND HUMAN SERVICES, TR-10 Y77]"
1287,363898180,3039,COP(=O)(OC)OC=C(Cl)Cl,Inactive,,,,MOUSE,B6C3F1/MALE,ORAL,"0; 317; 635 PPM IN DIET, TWA",,NEGATIVE,"[NCI/NTP CARCINOGENESIS TECHNICAL REPORT SERIES; NATIONAL CANCER INSTITUTE/NATIONAL TOXICOLOGY PROGRAM; U.S. DEPARTMENT OF HEALTH AND HUMAN SERVICES, TR-10 Y77]"
1288,363898180,3039,COP(=O)(OC)OC=C(Cl)Cl,Inactive,,,,RAT,OSBORNE-MENDEL/FEMALE,ORAL,"0; 318; 635 PPM IN DIET, TWA",,NEGATIVE,"[NCI/NTP CARCINOGENESIS TECHNICAL REPORT SERIES; NATIONAL CANCER INSTITUTE/NATIONAL TOXICOLOGY PROGRAM; U.S. DEPARTMENT OF HEALTH AND HUMAN SERVICES, TR-10 Y77]"
1289,363898180,3039,COP(=O)(OC)OC=C(Cl)Cl,Inactive,,,,RAT,OSBORNE-MENDEL/MALE,ORAL,"0; 150; 326 PPM IN DIET, TWA",,NEGATIVE,"[NCI/NTP CARCINOGENESIS TECHNICAL REPORT SERIES; NATIONAL CANCER INSTITUTE/NATIONAL TOXICOLOGY PROGRAM; U.S. DEPARTMENT OF HEALTH AND HUMAN SERVICES, TR-10 Y77]"
1290,363898180,3039,COP(=O)(OC)OC=C(Cl)Cl,Active,,,,RAT,F344/MALE,GAVAGE,0; 4; 8 MG/KG IN CORN OIL 5 D/WK FOR 103 WK (STUDY DURATION: 105 WK),PANCREAS: ADENOMA; HEMATOPOIETIC SYSTEM: MONONUCLEAR CELL LEUKEMIA,POSITIVE,"[NCI/NTP CARCINOGENESIS TECHNICAL REPORT SERIES; NATIONAL CANCER INSTITUTE/NATIONAL TOXICOLOGY PROGRAM; U.S. DEPARTMENT OF HEALTH AND HUMAN SERVICES, TR-342 Y89]"
1291,363898180,3039,COP(=O)(OC)OC=C(Cl)Cl,Active,,,,MOUSE,B6C3F1/MALE,GAVAGE,0; 10; 20 MG/KG IN CORN OIL 5 D/WK FOR 103 WK (STUDY DURATION: 105 WK),FORESTOMACH: SQUAMOUS PAPILLOMA,POSITIVE,"[NCI/NTP CARCINOGENESIS TECHNICAL REPORT SERIES; NATIONAL CANCER INSTITUTE/NATIONAL TOXICOLOGY PROGRAM; U.S. DEPARTMENT OF HEALTH AND HUMAN SERVICES, TR-342 Y89]"
1292,363898180,3039,COP(=O)(OC)OC=C(Cl)Cl,Active,,,,MOUSE,B6C3F1/FEMALE,GAVAGE,0; 20; 40 MG/KG IN CORN OIL 5 D/WK FOR 103 WK (STUDY DURATION: 105 WK),"FORESTOMACH: SQUAMOUS PAPILLOMA, SQUAMOUS CELL PAPILLOMA OR CARCINOMA",POSITIVE,"[NCI/NTP CARCINOGENESIS TECHNICAL REPORT SERIES; NATIONAL CANCER INSTITUTE/NATIONAL TOXICOLOGY PROGRAM; U.S. DEPARTMENT OF HEALTH AND HUMAN SERVICES, TR-342 Y89]"
1293,363898180,3039,COP(=O)(OC)OC=C(Cl)Cl,Inactive,,,,RAT,BDIX/BLN/MALE,INTRAGASTRIC,0; 0.1 MG IN 0.2 ML WATER 2/WK FOR 60 WK (STUDY DURATION: 111 WK),,NEGATIVE,"[HORN,KH, TEICHMANN,B, SCHRAMM,T AND NISCHAN,P; INVESTIGATION OF DICHLORVOS (DDVP). PART II. TESTING OF DICHLORVOS FOR CARCINOGENIC ACTIVITY IN RATS; ARCH. GESCHWULSTFORSCH. 58(1):1-9, 1988]"
1294,363898180,3039,COP(=O)(OC)OC=C(Cl)Cl,Inactive,,,,RAT,BDIX/BLN/FEMALE,INTRAGASTRIC,0; 0.1 MG IN 0.2 ML WATER 2/WK FOR 60 WK (STUDY DURATION: 111 WK),,NEGATIVE,"[HORN,KH, TEICHMANN,B, SCHRAMM,T AND NISCHAN,P; INVESTIGATION OF DICHLORVOS (DDVP). PART II. TESTING OF DICHLORVOS FOR CARCINOGENIC ACTIVITY IN RATS; ARCH. GESCHWULSTFORSCH. 58(1):1-9, 1988]"
1295,363898180,3039,COP(=O)(OC)OC=C(Cl)Cl,Inactive,,,,RAT,BDIX/BLN/MALE,INTRAGASTRIC,0; 0.1 MG IN 0.2 ML WATER 3/WK FOR 60 WK (STUDY DURATION: 111 WK),,NEGATIVE,"[HORN,KH, TEICHMANN,B, SCHRAMM,T AND NISCHAN,P; INVESTIGATION OF DICHLORVOS (DDVP). PART II. TESTING OF DICHLORVOS FOR CARCINOGENIC ACTIVITY IN RATS; ARCH. GESCHWULSTFORSCH. 58(1):1-9, 1988]"
1296,363898180,3039,COP(=O)(OC)OC=C(Cl)Cl,Inactive,,,,RAT,BDIX/BLN/FEMALE,INTRAGASTRIC,0; 0.1 MG IN 0.2 ML WATER 3/WK FOR 60 WK (STUDY DURATION: 111 WK),,NEGATIVE,"[HORN,KH, TEICHMANN,B, SCHRAMM,T AND NISCHAN,P; INVESTIGATION OF DICHLORVOS (DDVP). PART II. TESTING OF DICHLORVOS FOR CARCINOGENIC ACTIVITY IN RATS; ARCH. GESCHWULSTFORSCH. 58(1):1-9, 1988]"
1297,363898180,3039,COP(=O)(OC)OC=C(Cl)Cl,Active,,,,MOUSE,B6C3F1/FEMALE,GAVAGE,0; 20; 40 MG/KG IN CORN OIL 5 D/WK FOR 103 WK (STUDY DURATION: 104 WK),"FORESTOMACH: CARCINOMA, SQUAMOUS CELL PAPILLOMA",POSITIVE,"[CHAN,PC, HUFF,J, HASEMAN,JK, ALISON,R AND PREJEAN,JD; CARCINOGENESIS STUDIES OF DICHLORVOS IN FISCHER RATS AND B6C3F1 MICE;JPN. J. CANCER RES. 82(2):157-164, 1991]"
1298,363898180,3039,COP(=O)(OC)OC=C(Cl)Cl,Active,,,,MOUSE,B6C3F1/MALE,GAVAGE,0; 10; 20 MG/KG IN CORN OIL 5 D/WK FOR 103 WK (STUDY DURATION: 104 WK),FORESTOMACH: SQUAMOUS CELL PAPILLOMA,POSITIVE,"[CHAN,PC, HUFF,J, HASEMAN,JK, ALISON,R AND PREJEAN,JD; CARCINOGENESIS STUDIES OF DICHLORVOS IN FISCHER RATS AND B6C3F1 MICE;JPN. J. CANCER RES. 82(2):157-164, 1991]"
1299,363898180,3039,COP(=O)(OC)OC=C(Cl)Cl,Active,,,,RAT,F344/MALE,GAVAGE,0; 4; 8 MG/KG IN CORN OIL 5 D/WK FOR 103 WK (STUDY DURATION: 104 WK),PANCREAS: ACINAR CELL ADENOMA; HEMATOPOIETIC SYSTEM: MONONUCLEAR CELL LEUKEMIA,POSITIVE,"[CHAN,PC, HUFF,J, HASEMAN,JK, ALISON,R AND PREJEAN,JD; CARCINOGENESIS STUDIES OF DICHLORVOS IN FISCHER RATS AND B6C3F1 MICE;JPN. J. CANCER RES. 82(2):157-164, 1991]"
1300,363898180,3039,COP(=O)(OC)OC=C(Cl)Cl,Active,,,,RAT,F344/FEMALE,GAVAGE,0; 4; 8 MG/KG IN CORN OIL 5 D/WK FOR 103 WK (STUDY DURATION: 104 WK),"PANCREAS: ACINAR CELL ADENOMA; HEMATOPOIETIC SYSTEM: MONONUCLEAR CELL LEUKEMIA; MAMMARY GLAND: FIBROADENOMA, CARCINOMA",POSITIVE,"[CHAN,PC, HUFF,J, HASEMAN,JK, ALISON,R AND PREJEAN,JD; CARCINOGENESIS STUDIES OF DICHLORVOS IN FISCHER RATS AND B6C3F1 MICE;JPN. J. CANCER RES. 82(2):157-164, 1991]"
1301,363898180,3039,COP(=O)(OC)OC=C(Cl)Cl,Unspecified,,,,RAT,F344/FEMALE,GAVAGE,0; 4; 8 MG/KG IN CORN OIL 5 D/WK FOR 103 WK (STUDY DURATION: 105 WK),PANCREAS: ADENOMA; MAMMARY GLAND: FIBROADENOMA,EQUIVOCAL,"[NCI/NTP CARCINOGENESIS TECHNICAL REPORT SERIES; NATIONAL CANCER INSTITUTE/NATIONAL TOXICOLOGY PROGRAM; U.S. DEPARTMENT OF HEALTH AND HUMAN SERVICES, TR-342 Y89]"
1302,363898181,8268,C1=CC(=CC=C1C(C2=CC=C(C=C2)Cl)(C(Cl)(Cl)Cl)O)Cl,Inactive,,,,MOUSE,B6C3F1/FEMALE,ORAL,0; 122; 243 PPM IN DIET,,NEGATIVE,"[NCI/NTP CARCINOGENESIS TECHNICAL REPORT SERIES; NATIONAL CANCER INSTITUTE/NATIONAL TOXICOLOGY PROGRAM; U.S. DEPARTMENT OF HEALTH AND HUMAN SERVICES, TR-90 Y78]"
1303,363898181,8268,C1=CC(=CC=C1C(C2=CC=C(C=C2)Cl)(C(Cl)(Cl)Cl)O)Cl,Active,,,,MOUSE,B6C3F1/MALE,ORAL,0; 264; 528 PPM IN DIET,LIVER: HEPATOCELLULAR CARCINOMA OR HEPATOCELLULAR ADENOMA,POSITIVE,"[NCI/NTP CARCINOGENESIS TECHNICAL REPORT SERIES; NATIONAL CANCER INSTITUTE/NATIONAL TOXICOLOGY PROGRAM; U.S. DEPARTMENT OF HEALTH AND HUMAN SERVICES, TR-90 Y78]"
1304,363898181,8268,C1=CC(=CC=C1C(C2=CC=C(C=C2)Cl)(C(Cl)(Cl)Cl)O)Cl,Inactive,,,,RAT,OSBORNE-MENDEL/FEMALE,ORAL,0; 380; 760 PPM IN DIET,,NEGATIVE,"[NCI/NTP CARCINOGENESIS TECHNICAL REPORT SERIES; NATIONAL CANCER INSTITUTE/NATIONAL TOXICOLOGY PROGRAM; U.S. DEPARTMENT OF HEALTH AND HUMAN SERVICES, TR-90 Y78]"
1305,363898181,8268,C1=CC(=CC=C1C(C2=CC=C(C=C2)Cl)(C(Cl)(Cl)Cl)O)Cl,Inactive,,,,RAT,OSBORNE-MENDEL/MALE,ORAL,0; 471; 942 PPM IN DIET,,NEGATIVE,"[NCI/NTP CARCINOGENESIS TECHNICAL REPORT SERIES; NATIONAL CANCER INSTITUTE/NATIONAL TOXICOLOGY PROGRAM; U.S. DEPARTMENT OF HEALTH AND HUMAN SERVICES, TR-90 Y78]"
1306,363898182,727200,C1CCC(CC1)NC(=S)NC2CCCCC2,Inactive,,,,MOUSE,B6C3F1/FEMALE,ORAL,0; 25000; 50000 PPM IN DIET,,NEGATIVE,"[NCI/NTP CARCINOGENESIS TECHNICAL REPORT SERIES; NATIONAL CANCER INSTITUTE/NATIONAL TOXICOLOGY PROGRAM; U.S. DEPARTMENT OF HEALTH AND HUMAN SERVICES, TR-56 Y78]"
1307,363898182,727200,C1CCC(CC1)NC(=S)NC2CCCCC2,Inactive,,,,MOUSE,B6C3F1/MALE,ORAL,0; 25000; 50000 PPM IN DIET,,NEGATIVE,"[NCI/NTP CARCINOGENESIS TECHNICAL REPORT SERIES; NATIONAL CANCER INSTITUTE/NATIONAL TOXICOLOGY PROGRAM; U.S. DEPARTMENT OF HEALTH AND HUMAN SERVICES, TR-56 Y78]"
1308,363898182,727200,C1CCC(CC1)NC(=S)NC2CCCCC2,Inactive,,,,RAT,F344/FEMALE,ORAL,0; 25000; 50000 PPM IN DIET,,NEGATIVE,"[NCI/NTP CARCINOGENESIS TECHNICAL REPORT SERIES; NATIONAL CANCER INSTITUTE/NATIONAL TOXICOLOGY PROGRAM; U.S. DEPARTMENT OF HEALTH AND HUMAN SERVICES, TR-56 Y78]"
1309,363898182,727200,C1CCC(CC1)NC(=S)NC2CCCCC2,Inactive,,,,RAT,F344/MALE,ORAL,0; 25000; 50000 PPM IN DIET,,NEGATIVE,"[NCI/NTP CARCINOGENESIS TECHNICAL REPORT SERIES; NATIONAL CANCER INSTITUTE/NATIONAL TOXICOLOGY PROGRAM; U.S. DEPARTMENT OF HEALTH AND HUMAN SERVICES, TR-56 Y78]"
1310,363898183,969491,C1[C@@H]2[C@H]3[C@@H]([C@H]1[C@H]4[C@@H]2O4)[C@]5(C(=C([C@@]3(C5(Cl)Cl)Cl)Cl)Cl)Cl,Inactive,,,,MOUSE,B6C3F1/FEMALE,ORAL,0; 2.5; 5 PPM IN DIET FOR 80 WK (STUDY DURATION: 90-93 WK),,NEGATIVE,"[NCI/NTP CARCINOGENESIS TECHNICAL REPORT SERIES; NATIONAL CANCER INSTITUTE/NATIONAL TOXICOLOGY PROGRAM; U.S. DEPARTMENT OF HEALTH AND HUMAN SERVICES, TR-21 Y78]"
1311,363898183,969491,C1[C@@H]2[C@H]3[C@@H]([C@H]1[C@H]4[C@@H]2O4)[C@]5(C(=C([C@@]3(C5(Cl)Cl)Cl)Cl)Cl)Cl,Active,,,,MOUSE,B6C3F1/MALE,ORAL,0; 2.5; 5 PPM IN DIET FOR 80 WK (STUDY DURATION: 91-93 WK),LIVER: HEPATOCELLULAR CARCINOMA,POSITIVE,"[NCI/NTP CARCINOGENESIS TECHNICAL REPORT SERIES; NATIONAL CANCER INSTITUTE/NATIONAL TOXICOLOGY PROGRAM; U.S. DEPARTMENT OF HEALTH AND HUMAN SERVICES, TR-21 Y78][IARC MONOGRAPHS ON THE EVALUATION OF THE CARCINOGENIC RISK OF CHEMICALS TO HUMANS, INTERNATIONAL AGENCY FOR RESEARCH ON CANCER, LYON, FRANCE, p. V5 125 Y74]"
1312,363898183,969491,C1[C@@H]2[C@H]3[C@@H]([C@H]1[C@H]4[C@@H]2O4)[C@]5(C(=C([C@@]3(C5(Cl)Cl)Cl)Cl)Cl)Cl,Inactive,,,,RAT,OSBORNE-MENDEL/FEMALE,ORAL,"0; 29; 65 PPM TWA, IN DIET FOR 59-80 WK (STUDY DURATION: 110-111 WK)",,NEGATIVE,"[NCI/NTP CARCINOGENESIS TECHNICAL REPORT SERIES; NATIONAL CANCER INSTITUTE/NATIONAL TOXICOLOGY PROGRAM; U.S. DEPARTMENT OF HEALTH AND HUMAN SERVICES, TR-21 Y78]"
1313,363898183,969491,C1[C@@H]2[C@H]3[C@@H]([C@H]1[C@H]4[C@@H]2O4)[C@]5(C(=C([C@@]3(C5(Cl)Cl)Cl)Cl)Cl)Cl,Inactive,,,,RAT,OSBORNE-MENDEL/MALE,ORAL,"0; 29; 65 PPM TWA, IN DIET FOR 59-80 WK (STUDY DURATION: 110-111 WK)",,NEGATIVE,"[NCI/NTP CARCINOGENESIS TECHNICAL REPORT SERIES; NATIONAL CANCER INSTITUTE/NATIONAL TOXICOLOGY PROGRAM; U.S. DEPARTMENT OF HEALTH AND HUMAN SERVICES, TR-21 Y78]"
1314,363898183,969491,C1[C@@H]2[C@H]3[C@@H]([C@H]1[C@H]4[C@@H]2O4)[C@]5(C(=C([C@@]3(C5(Cl)Cl)Cl)Cl)Cl)Cl,Active,,,,MOUSE,"CF-1/MALE,FEMALE",ORAL,0; 0.1; 1.0; 10 PPM IN DIET FOR 132 WK,LIVER,POSITIVE,"[IARC MONOGRAPHS ON THE EVALUATION OF THE CARCINOGENIC RISK OF CHEMICALS TO HUMANS, INTERNATIONAL AGENCY FOR RESEARCH ON CANCER, LYON, FRANCE, p. V5 125 Y74][WALKER,AIT, THORPE,E AND STEVENSON,DE; THE TOXICOLOGY OF DIELDRIN (HEOD). I. LONG-TERM ORAL TOXICITY STUDIES IN MICE; FOOD COSMET. TOXICOL. 11:415, 1973, ]"
